"","x_vals","mean.h"
"h391",2019-07-24,-9.6183613124019
"h392",2019-07-25,-9.53913157609509
"h393",2019-07-26,-9.45880410482059
"h394",2019-07-29,-9.37337793125923
"h395",2019-07-30,-9.2708733412253
"h396",2019-07-31,-9.16426724121022
"h397",2019-08-01,-9.0602781813711
"h398",2019-08-02,-8.9599005384983
"h399",2019-08-05,-8.85595168480791
"h400",2019-08-06,-8.81874557534393
"h401",2019-08-07,-8.77983302128102
"h402",2019-08-08,-8.73848634017084
"h403",2019-08-09,-8.7181497219667
"h404",2019-08-12,-8.69462993241035
"h405",2019-08-13,-8.67647900067145
"h406",2019-08-14,-8.66786758288593
"h407",2019-08-15,-8.71747016080893
"h408",2019-08-16,-8.75607376301392
"h409",2019-08-19,-8.79974652857649
"h410",2019-08-20,-8.84258014674691
"h411",2019-08-21,-8.88215544365304
"h412",2019-08-22,-8.91132737202613
"h413",2019-08-23,-8.93545185529018
"h414",2019-08-26,-9.01386865141016
"h415",2019-08-27,-9.0872400398913
"h416",2019-08-28,-9.15124075139504
"h417",2019-08-29,-9.20689914745415
"h418",2019-08-30,-9.27341071309565
"h419",2019-09-03,-9.33627495784362
"h420",2019-09-04,-9.39300288463068
"h421",2019-09-05,-9.46136947099677
"h422",2019-09-06,-9.54716358765362
"h423",2019-09-09,-9.61681774837756
"h424",2019-09-10,-9.67151534972718
"h425",2019-09-11,-9.70939123808173
"h426",2019-09-12,-9.74801135405896
"h427",2019-09-13,-9.77492701649699
"h428",2019-09-16,-9.79028524724623
"h429",2019-09-17,-9.79583569220822
"h430",2019-09-18,-9.78660996950179
"h431",2019-09-19,-9.77104474584081
"h432",2019-09-20,-9.74039859953342
"h433",2019-09-23,-9.70472665761719
"h434",2019-09-24,-9.66446246368544
"h435",2019-09-25,-9.63320877246098
"h436",2019-09-26,-9.60307670490642
"h437",2019-09-27,-9.5641118809479
"h438",2019-09-30,-9.52191278988082
"h439",2019-10-01,-9.46601248844578
"h440",2019-10-02,-9.42439643932555
"h441",2019-10-03,-9.42887519299716
"h442",2019-10-04,-9.43016853570309
"h443",2019-10-07,-9.45592966894114
"h444",2019-10-08,-9.47338660776573
"h445",2019-10-09,-9.52269401223858
"h446",2019-10-10,-9.57842473791171
"h447",2019-10-11,-9.628984173794
"h448",2019-10-14,-9.69863785236329
"h449",2019-10-15,-9.7577592513796
"h450",2019-10-16,-9.83212657077818
"h451",2019-10-17,-9.89550027819631
"h452",2019-10-18,-9.95034411561343
"h453",2019-10-21,-10.0083579876993
"h454",2019-10-22,-10.0732230432451
"h455",2019-10-23,-10.1383225810698
"h456",2019-10-24,-10.1953196331175
"h457",2019-10-25,-10.2473312573638
"h458",2019-10-28,-10.2892114346462
"h459",2019-10-29,-10.3287509587495
"h460",2019-10-30,-10.3635932010478
"h461",2019-10-31,-10.3896777868672
"h462",2019-11-01,-10.409637231517
"h463",2019-11-04,-10.4571110765101
"h464",2019-11-05,-10.5080777750468
"h465",2019-11-06,-10.5437484028723
"h466",2019-11-07,-10.5730471450248
"h467",2019-11-08,-10.5989825664959
"h468",2019-11-11,-10.6145533805998
"h469",2019-11-12,-10.6218328681507
"h470",2019-11-13,-10.6277447663584
"h471",2019-11-14,-10.6235438297094
"h472",2019-11-15,-10.6074439147195
"h473",2019-11-18,-10.6090750176184
"h474",2019-11-19,-10.5958882082408
"h475",2019-11-20,-10.5767926959699
"h476",2019-11-21,-10.5499899298516
"h477",2019-11-22,-10.5142788900082
"h478",2019-11-25,-10.477047222065
"h479",2019-11-26,-10.458687338747
"h480",2019-11-27,-10.4330795087724
"h481",2019-11-29,-10.4080638833189
"h482",2019-12-02,-10.3809572186877
"h483",2019-12-03,-10.3696750158451
"h484",2019-12-04,-10.3627097246202
"h485",2019-12-05,-10.3600180261215
"h486",2019-12-06,-10.3485503767305
"h487",2019-12-09,-10.3606996589839
"h488",2019-12-10,-10.3626898241621
"h489",2019-12-11,-10.3610389584133
"h490",2019-12-12,-10.3527559741122
"h491",2019-12-13,-10.3659919861463
"h492",2019-12-16,-10.3694845867612
"h493",2019-12-17,-10.3829163610071
"h494",2019-12-18,-10.3883950231421
"h495",2019-12-19,-10.3823019572931
"h496",2019-12-20,-10.3796970081275
"h497",2019-12-23,-10.3816258450283
"h498",2019-12-24,-10.3738722060058
"h499",2019-12-26,-10.3515272682471
"h500",2019-12-27,-10.3310420238631
"h501",2019-12-30,-10.3012407338421
"h502",2019-12-31,-10.2740831997788
"h503",2020-01-02,-10.2336628310013
"h504",2020-01-03,-10.2053110370048
"h505",2020-01-06,-10.1771243989882
"h506",2020-01-07,-10.1409081572842
"h507",2020-01-08,-10.0960154994435
"h508",2020-01-09,-10.0488315484754
"h509",2020-01-10,-9.99873762406808
"h510",2020-01-13,-9.94049189133706
"h511",2020-01-14,-9.88301915430058
"h512",2020-01-15,-9.81145626348363
"h513",2020-01-16,-9.72874198990572
"h514",2020-01-17,-9.65348537341322
"h515",2020-01-21,-9.57541557603627
"h516",2020-01-22,-9.49181571614313
"h517",2020-01-23,-9.40026962057244
"h518",2020-01-24,-9.30020857806661
"h519",2020-01-27,-9.20538932811441
"h520",2020-01-28,-9.13745252723728
"h521",2020-01-29,-9.07659637928859
"h522",2020-01-30,-8.99855407829558
"h523",2020-01-31,-8.90890626079187
"h524",2020-02-03,-8.84803512260621
"h525",2020-02-04,-8.78262943374589
"h526",2020-02-05,-8.72211983768585
"h527",2020-02-06,-8.66261834025937
"h528",2020-02-07,-8.59580836670663
"h529",2020-02-10,-8.52240032256745
"h530",2020-02-11,-8.44102276786614
"h531",2020-02-12,-8.35157912661784
"h532",2020-02-13,-8.25771129075352
"h533",2020-02-14,-8.15647671476553
"h534",2020-02-18,-8.0410025739851
"h535",2020-02-19,-7.91566208468884
"h536",2020-02-20,-7.77614211071125
"h537",2020-02-21,-7.62889269630648
"h538",2020-02-24,-7.47374467349694
"h539",2020-02-25,-7.33748663521852
"h540",2020-02-26,-7.2070964307169
"h541",2020-02-27,-7.07039841535703
"h542",2020-02-28,-6.95519475002971
"h543",2020-03-02,-6.83236390067176
"h544",2020-03-03,-6.71638818330969
"h545",2020-03-04,-6.6010010374411
"h546",2020-03-05,-6.49882644509487
"h547",2020-03-06,-6.39296066061295
"h548",2020-03-09,-6.27183249459611
"h549",2020-03-10,-6.18246607681293
"h550",2020-03-11,-6.08946362881093
"h551",2020-03-12,-6.00043329902422
"h552",2020-03-13,-5.95006070374773
"h553",2020-03-16,-5.92566207135126
"h554",2020-03-17,-5.95394631152675
"h555",2020-03-18,-5.99126338147129
"h556",2020-03-19,-6.03583779902141
"h557",2020-03-20,-6.07685554138693
"h558",2020-03-23,-6.11247583459711
"h559",2020-03-24,-6.14475627000158
"h560",2020-03-25,-6.20955464421764
"h561",2020-03-26,-6.26563672217179
"h562",2020-03-27,-6.33141737673514
"h563",2020-03-30,-6.39680622581041
"h564",2020-03-31,-6.4547679899272
"h565",2020-04-01,-6.50571255523537
"h566",2020-04-02,-6.5639962323748
"h567",2020-04-03,-6.6086052964959
"h568",2020-04-06,-6.64731766107507
"h569",2020-04-07,-6.71869404986347
"h570",2020-04-08,-6.78010509444629
"h571",2020-04-09,-6.8430821422803
"h572",2020-04-13,-6.89825302266678
"h573",2020-04-14,-6.95327598459161
"h574",2020-04-15,-7.0193483501281
"h575",2020-04-16,-7.08273849540499
"h576",2020-04-17,-7.13739429543876
"h577",2020-04-20,-7.19992236913764
"h578",2020-04-21,-7.25481653655981
"h579",2020-04-22,-7.31992812727511
"h580",2020-04-23,-7.38801244283982
"h581",2020-04-24,-7.44795659797404
"h582",2020-04-27,-7.49692969589995
"h583",2020-04-28,-7.54268628198469
"h584",2020-04-29,-7.57983374578173
"h585",2020-04-30,-7.62422331144824
"h586",2020-05-01,-7.66047153443346
"h587",2020-05-04,-7.70435493590163
"h588",2020-05-05,-7.74095977509777
"h589",2020-05-06,-7.77629042633352
"h590",2020-05-07,-7.80720616956983
"h591",2020-05-08,-7.83344901241897
"h592",2020-05-11,-7.85916223126919
"h593",2020-05-12,-7.8827325757353
"h594",2020-05-13,-7.91074108835316
"h595",2020-05-14,-7.94609223671255
"h596",2020-05-15,-7.97732978018763
"h597",2020-05-18,-8.00172916365389
"h598",2020-05-19,-8.05026338265773
"h599",2020-05-20,-8.09226369256266
"h600",2020-05-21,-8.13304735063281
"h601",2020-05-22,-8.1615865126753
"h602",2020-05-26,-8.18005345904351
"h603",2020-05-27,-8.19511341436008
"h604",2020-05-28,-8.20693675627484
"h605",2020-05-29,-8.20949122234585
"h606",2020-06-01,-8.20089565792822
"h607",2020-06-02,-8.179553016449
